No,Judul,Alamat,Tingkat,Dimensi,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Surat,Harga,keterangan,link
21,Rungkut Surabaya | Rumah Baru 2Lt Rungkut Asri MERR Yakaya UPN Tol,"RW 10, Kali Rungkut, Rungkut, Surabaya, Jawa Timur",2,5 x 10,100,80,3,2,,"Rp1,250,000,000","SIAPA CEPAT DIA DAPAT. - Jika berminat segera dijadwalkan survei lokasi. - Rumah bisa laku sewaktu-waktu tanpa update iklan, silahkan chat/WA dulu untuk memastikan ketersediaan.",https://rumah.trovit.co.id/detail/0199149c-d09d-7097-9e7b-cc9525217688?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=29&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
22,rumah baru 1lt 3kmr 800 jt an Surabaya,"Perumahan YKP, RW 01, Medokan Ayu, Rungkut, Surabaya, Jawa Timur",1,5 x 20,100,75,3,2,"SHM,IMB, PBB","Rp870,000,000",Harga - Cash Rp 870 jt - KPR Rp 890 jt *NEGO sampai deal di lokasi*,https://rumah.trovit.co.id/detail/0197f69f-769f-7598-9cd8-9d58c7ce71ed?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=30&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
23,??TURUN HARGA??PERUMAHAN GAYUNGSARI BARAT DEKAT MASJID AKBAR SBY,"W 04, Gayungan, Gayungan, Surabaya, Jawa Timur",2,12 x 30,360,430,6,6,SHM,"Rp3,800,000,000","*Ruang & Fasilitas Tambahan :* - Musholla 2 (atas, bawah) - Gazebo - Ruang Kerja + Almari - Kantor + Mesanine - 2 Dapur Kitchenset - 1 PABX Dan Jaringan - AC 3 - Water Heater ~Harga Awal = 4,5 Miliar, Nego~ *Turun Harga = 3,8 Miliar, Nego* *Siap Bantu KPR Sampai ACC* Fast Respon : Langsung WA di Profile Info Rumah Lain klik IG : dijual_rumahimpian",https://rumah.trovit.co.id/detail/019ba71f-fe2a-767f-9f7f-9f1aae15bdbf?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=31&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
24,DIJUAL RUMAH DHARMAHUSADA MAS MULYOREJO SURABAYA RON.A1712,"Dharmahusada Mas, RW 12, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",2,10 x 20,200,300,4,4,SHM,"Rp3,600,000,000","HADAP RUMAH : UTARA FURNISHED ATAU KOSONGAN: FULL FURNISHED HANYA YANG NEMPEL SAJA LISTRIK : 4.400 WATT AIR: AIR PDAM TANDON AIR BAWAH CARPORT : 1 MOBIL GARASI : 1 MOBIL ROW JALAN: 2,5 MOBIL LONGGAR TUSUK SATE ATAU TIDAK : TIDAK HOOK ( POSISI RUMAH DIPOJOK ) ATAU TIDAK : TIDAK KULDESAK ( JALAN BUNTU ) ATAU TIDAK : TIDAK FULL DESAIN FURNITURE 4 AC CANOPY ",https://rumah.trovit.co.id/detail/0197f69c-265a-7d32-ab58-01a826d8adc9?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=2&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
25,GUNUNGANYAR FREE BIAYA ?? Rumah Scandinavian Baru 2 Lantai dekat UPN Veteran Rungkut,"RW 01, Ketabang, Genteng, Surabaya, Jawa Timur",1.5,5 x 20,100,,3,3,SHM,"Rp850,000,000",Harga : Paling kiri dekat lahan kosong : 900 juta Tengah dan kanan harga 850 juta Cash : FREE BPHTB FREE AJB Notaris FREE Balik Nama SHM FREE Pagar FREE Tandon Bawah Cara bayar KPR : FREE Pagar FREE Tandon Bawah FREE biaya KPR kecuali asuransi,http://rumah.trovit.co.id/detail/019bc33e-aa8a-732f-a32d-685f98b8ff96?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=3&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
26,SEMOLOWARU ELOK ROW 3 MOBIL ?? Rumah Baru 2 Lantai Strategis No Blusuk Bonus AC dan Water Heater,"RW 01, Ketabang, Genteng, Surabaya, Jawa Timur",2,5 x 10,50,60,2,2,SHM,"Rp975,000,000","Bonus Canopy Carport, Pompa air & booster Tandon Beton & Tandon Atas Stainless AC 2 unit (Kamar), Water Heater ",https://rumah.trovit.co.id/detail/019bbef2-bc10-7150-a6a5-2e2d6c05b59e?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=4&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
27,Baru Gress??Jual Rumah Modern Tropical Dukuh Kupang Surabaya Barat,"RW 05, Tegalsari, Tegalsari, Surabaya, Jawa Timur",2,"5,5 x 25",137.5,200,5,5,SHM,"Rp3,150,000,000","BONUS : - Smart Doorlock + Camera - Instalasi pipa AC - Tempered glass canopy - Tandon atas stainless - Pompa atas&bawah - Taman belakang Dekat kawasan Kuliner Darmo Permai, Gloria Christian School, Bebas banjir, dekat dengan Segi 8 Harga 3,150 M",https://rumah.trovit.co.id/detail/019ba5bc-b10c-7414-bf50-3b8668a1c575?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=6&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
28,MILIKI SEGERA RUMAH IMPIAN BERNUANSA ALAM DI GRAHA NATURA,"Graha Natura, RW 06, Lontar, Sambikerep, Surabaya, Jawa Timur",2,16 x 27,432,500,3,3,HGB,"Rp6,900,000,000","Hadap selatan *Building spec :* - KT atas 2 uk. 6x8 dan 5x5 - KT bawah uk. 6x8 - Full marmer - R. tamu, R. makan, R. keluarga - Garasi 2 mobil - Carport 2 mobil *??TURUN HARGA ??* *BEST PRICE ONLY ~9M~ ?? 6.9M NEGO* _Grab it Fast before Sold Out",https://rumah.trovit.co.id/detail/019b7341-4c12-72c6-ab00-b195461c4476?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=7&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
29,Rungkut Surabaya | Jual Rumah Baru Ready 78 m² Graha Indah Medayu Utara Wonorejo Pandugo MERR,"RW 09, Medokan Ayu, Rungkut, Surabaya, Jawa Timur",1,6 x 13,78,60,3,1,,"Rp799,000,000","Lokasi di Perumahan Graha Indah Medayu Utara, Rungkut, Surabaya - Dekat kampus UPN - Dekat Pandugo, Wonorejo - Dekat MERR",https://rumah.trovit.co.id/detail/019a3c6f-150e-7fcc-ae5e-be8100187206?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=10&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
30,DEKAT PUSAT BISNIS SURABAYA BARAT !! RUMAH BARU GRESS MINIMALIS DARMO INDAH TIMUR,"RW 08, Karangpoh, Tandes, Surabaya, Jawa Timur",2,6 x 18,108,140,3,3,HGB,"Rp1,700,000,000","*Selling Point:* - Lokasi strategis di area Darmo Indah Timur – akses mudah ke tol & pusat kota - Desain minimalis modern dengan tata ruang lega dan pencahayaan alami - Lingkungan tenang, aman, dan asri – cocok untuk keluarga muda - Jalan lebar, bebas banjir, dan dekat fasilitas umum (pasar, sekolah, minimarket) - Rumah baru gress, siap huni tanpa renovasi",https://rumah.trovit.co.id/detail/019a19a2-23ac-70ca-bc05-861bfbf4cc72?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=11&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
31,"Rumah Cantik Baru Gress Lokasi Baruk Rungkut Surabaya (Dekat Apartemen Gunawangsa,Bale Hinggil, Superindo,UWH/PERBANAS,DINAMIKA/STIKOM)","Pondok Nirwana, RW 08, Kedung Baruk, Rungkut, Surabaya, Jawa Timur",2,5.7 x 16,91.2,150,4,3,"SHM, IMB","Rp1,550,000,000","Selangkah MERR KodeHp18 6225 Rumah Cantik Baru Gress Lokasi Baruk Rungkut Surabaya (Dekat Apartemen Gunawangsa,Bale Hinggil, Superindo,UWH/PERBANAS,DINAMIKA/STIKOM) ",https://rumah.trovit.co.id/detail/019be0f3-9960-71ca-978d-8ab6bee0c3d6?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=13&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
32,Rumah full renovasi di Dharmahusada Mas,"Dharmahusada Mas, RW 12, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",2,8 x 15,120,150,4,3,SHM,"Rp2,600,000,000","Listrik 3500 watt, PDAM Hadap utara Carport 2 mobil, Row jalan 2,5 mobil Wet kitchen & Service area terpisah Spesifikasi bangunan: - Granite tile 80 x 80, Sanitary TOTO, Kusen aluminium - Bonus tandon atas & bawah, pompa booster - AC 2 unit (di kamar), Waterheater ",https://rumah.trovit.co.id/detail/019bb883-c80a-714a-8db1-03c749cbf900?t_pvid=f39646bc-5918-4426-a6f7-35d5a48fdd58&page=2&t_sec=1&pos=14&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
